Train_Size,Accuracy,F1_Score,Inference_Time
10,0.762,0.43246311010215666,1.7339766025543213
50,0.76,0.5489942571935416,0.2616002559661865
100,0.766,0.6819805274230637,0.5305385589599609
500,0.838,0.7773244849597809,0.263049840927124
1000,0.832,0.7598957261439254,0.28289294242858887
5000,0.836,0.7626160865235415,0.7699263095855713
10000,0.842,0.7720334043203998,1.8267302513122559
20000,0.856,0.7928939617083948,4.586384296417236
30000,0.85,0.7792962197856526,13.296165943145752
40000,0.852,0.7829606513526831,19.709770441055298
