Structure,Dim,Acc,Acc_std,AUC,AUC_std,Time
independent,5,0.868,0.023420076857260733,0.9423,0.01074512680241607,0.1591555118560791
chain,5,0.9870000000000001,0.004847679857416359,0.9992890276466075,0.00035170652580443517,0.3613401412963867
fork,5,0.9880000000000001,0.004301162633521302,0.9994093626718552,0.0004810033264083309,0.2201136589050293
collider,5,0.9804999999999999,0.011113055385446467,0.9987298932398302,0.0011056053360911798,0.40304150581359866
random,5,0.9785,0.009565563234854512,0.9988648639813344,0.0007604224984770814,0.18740129470825195
independent,10,0.95,0.006708203932499375,0.9907450000000001,0.002582702073410718,0.2203373432159424
chain,10,0.9880000000000001,0.003316624790355396,0.9994439975425398,0.0004086880893372209,0.22708725929260254
fork,10,0.9865,0.005147815070493478,0.9992989477765309,0.00028806960779684086,0.2652552127838135
collider,10,0.9824999999999999,0.009354143466934868,0.9989899338692588,0.0007473059402905956,0.28508586883544923
random,10,0.982,0.0053385391260156526,0.999334959746631,0.00028707127923567307,0.4373138904571533
independent,25,0.99,0.006519202405202672,0.9995100000000001,0.0004442971978304713,0.39419093132019045
chain,25,0.9824999999999999,0.0022360679774997916,0.9993038862179487,0.0004182215463964583,0.1836754322052002
fork,25,0.9835,0.0025495097567964035,0.9993790064102563,0.00027172796406751493,0.48152523040771483
collider,25,0.984,0.004062019202317989,0.9991099913747844,0.0004005019399892821,0.2961855888366699
random,25,0.985,0.008215838362577506,0.9994248399517343,0.0004281728237445609,0.18475837707519532
independent,50,0.999,0.001224744871391563,0.999985,3.00000000000189e-05,0.6186192512512207
chain,50,0.986,0.0025495097567963857,0.9994641426282052,0.0003387727268687588,0.3295123100280762
fork,50,0.985,0.004743416490252597,0.9991033481672582,0.0005013476623147342,0.6246239185333252
collider,50,0.983,0.004582575694955839,0.9989698969896988,0.00029515660692816677,0.5042024612426758
random,50,0.9810000000000001,0.004636809247747839,0.9992148402157361,0.00026207750497099914,0.6038699150085449
independent,100,1.0,0.0,1.0,0.0,0.4370159149169922
chain,100,0.9814999999999999,0.0051478150704935225,0.9990087519170118,0.0005397469867157744,0.4192188739776611
fork,100,0.9789999999999999,0.009695359714832678,0.998573336913838,0.0010734722553383577,0.40025935173034666
collider,100,0.9785,0.0051478150704935095,0.9989097922069969,0.0005331973601384428,0.41785383224487305
random,100,0.9835,0.006041522986797314,0.9989249809995251,0.0003438721238717391,0.3287234306335449
independent,200,1.0,0.0,1.0,0.0,0.9978537082672119
chain,200,0.9845,0.003316624790355396,0.9993686930319612,0.000299489631171928,0.9902843952178955
fork,200,0.983,0.004000000000000012,0.9990128581806731,0.00030939641220093097,0.8426507472991943
collider,200,0.9835,0.0030000000000000174,0.9992449884997125,0.0001528087779036633,1.0400004863739014
random,200,0.9745000000000001,0.006782329983125275,0.9981596934417754,0.0009411013778516897,0.9245435714721679
independent,300,1.0,0.0,1.0,0.0,1.1925241470336914
chain,300,0.9890000000000001,0.004062019202317962,0.9994439335608133,0.0002481569778726498,1.0819573879241944
fork,300,0.9815000000000002,0.005147815070493479,0.9992737485666087,0.00033775709460383594,1.3998331546783447
collider,300,0.9795,0.006204836822995441,0.9986995078094252,0.0005920797244202301,1.3954760074615478
random,300,0.9845,0.006204836822995458,0.9993289262820515,0.00028035927488539585,0.898617935180664
