Dataset,Samples,Features,NumClasses,XGB_Accuracy,XGB_MacroF1,XGB_Time
dataset_3.csv,3196,36,2,0.9940585815047023,0.9940458578789617,22.22
dataset_6.csv,20000,16,26,0.967,0.9668800722940667,266.72
dataset_11.csv,625,4,3,0.8848182283666153,0.691715210485566,41.47
dataset_12.csv,2000,216,10,0.9639999999999999,0.9641174630627717,85.78
dataset_14.csv,2000,76,10,0.8355,0.8344225420229918,95.74
dataset_15.csv,699,9,2,0.9642236024844723,0.9604723365409515,13.13
dataset_16.csv,2000,64,10,0.9570000000000001,0.9569849314501969,78.14
dataset_18.csv,2000,6,10,0.6875,0.6858488571310989,120.62
dataset_22.csv,2000,47,10,0.7855000000000001,0.7844638873598552,99.25
dataset_23.csv,1473,9,3,0.5003631182202611,0.4738349782029262,45.9
dataset_28.csv,5620,64,10,0.9804270462633451,0.980433315938696,76.54
dataset_29.csv,690,15,2,0.8710144927536232,0.8692034450872826,19.28
dataset_31.csv,1000,20,2,0.748,0.683787071574347,21.49
dataset_32.csv,10992,16,10,0.9902649516089006,0.990266827081637,86.4
dataset_37.csv,768,8,2,0.7369446343130553,0.7056417134233508,20.24
dataset_38.csv,3772,29,2,0.9893983411224792,0.952632802548635,18.43
dataset_44.csv,4601,57,2,0.9560996887673301,0.9540083638576065,25.04
dataset_46.csv,3190,60,3,0.9626959247648903,0.9586865355697884,41.48
dataset_50.csv,958,9,2,1.0,1.0,16.8
dataset_54.csv,846,18,4,0.7625210084033613,0.7615000070282474,45.26
dataset_151.csv,45312,8,2,0.9325124234872721,0.930881405273705,25.51
dataset_182.csv,6430,36,6,0.922706065318818,0.9065826158134389,77.21
dataset_188.csv,736,19,5,0.6601443909663087,0.6285057564536085,59.71
dataset_300.csv,7797,617,26,0.9552391297192324,0.9552504029518571,376.7
dataset_307.csv,990,12,11,0.9333333333333333,0.9327687676491504,87.67
dataset_458.csv,841,70,4,0.988109243697479,0.9845328648961603,29.83
dataset_469.csv,797,4,6,0.19330696202531644,0.19000749198090858,81.56
dataset_554.csv,70000,784,10,0.9810000000000001,0.9808707019495733,843.72
dataset_1049.csv,1458,37,2,0.9094803967879075,0.7637577091164884,22.13
dataset_1050.csv,1563,37,2,0.8912257063530948,0.6192837434364058,22.39
dataset_1053.csv,10885,21,2,0.8105647889321018,0.6263263396743423,24.99
dataset_1063.csv,522,21,2,0.8410014513788099,0.7306289969790962,20.44
dataset_1067.csv,2109,21,2,0.8629609568946062,0.699595363649884,22.82
dataset_1068.csv,1109,21,2,0.9341932841932843,0.6860327672989045,20.88
dataset_1461.csv,45211,16,2,0.9057530678251113,0.7487530872082482,25.82
dataset_1462.csv,1372,4,2,0.9963556542896436,0.9963113977113943,15.07
dataset_1464.csv,748,4,2,0.7366666666666667,0.5958192474778853,18.95
dataset_1468.csv,1080,856,9,0.9092592592592592,0.9088018253302279,140.63
dataset_1475.csv,6118,51,6,0.6268393718644031,0.5258306531368957,115.45
dataset_1478.csv,10299,561,6,0.9922323492503798,0.992367890904432,125.38
dataset_1480.csv,583,10,2,0.6998246639392168,0.6109677013872254,17.97
dataset_1485.csv,2600,500,2,0.8211538461538461,0.8209849437204623,46.29
dataset_1486.csv,34465,118,2,0.9748730675155379,0.9691394370903597,34.98
dataset_1487.csv,2534,72,2,0.9443636986088203,0.6844780655351053,19.7
dataset_1489.csv,5404,5,2,0.9028462381050183,0.8821425254443842,20.87
dataset_1494.csv,1055,41,2,0.8606019766397125,0.841382332855501,19.38
dataset_1497.csv,5456,24,4,0.9963332997277952,0.9950807297521447,34.89
dataset_1501.csv,1593,256,10,0.927193396226415,0.9268709417413777,79.66
dataset_1510.csv,569,30,2,0.9753759398496239,0.9734448928106231,13.94
dataset_1590.csv,48842,14,2,0.8694769963040179,0.8113525024273764,23.46
dataset_4134.csv,3751,1776,2,0.7981879432624113,0.7961810427575948,105.32
dataset_4534.csv,11055,30,2,0.9736767774295696,0.9732832018632784,21.41
dataset_4538.csv,9873,32,5,0.7065724868636403,0.6674197791561293,100.71
dataset_6332.csv,540,37,2,0.8277777777777778,0.8206827418486433,17.03
dataset_23381.csv,500,12,2,0.5359999999999999,0.5174278607824897,17.79
dataset_23517.csv,96320,21,2,0.5054298172757475,0.5049582226533224,29.18
dataset_40499.csv,5500,40,11,0.9856363636363635,0.9856841801207545,84.35
dataset_40668.csv,67557,42,3,0.8525690177966105,0.6977541476922088,59.6
dataset_40670.csv,3186,180,3,0.966724827980521,0.9626190348430018,43.67
dataset_40701.csv,5000,20,2,0.9558,0.9015481638579812,21.1
dataset_40923.csv,92000,1024,46,0.9446413043478261,0.944619958574991,5000.61
dataset_40927.csv,60000,3072,10,0.6039,0.6027328494294566,4063.1
dataset_40966.csv,1080,77,8,0.9851851851851852,0.9856870910047704,41.53
dataset_40975.csv,1728,6,4,0.9971031052560828,0.9944929079528609,28.39
dataset_40978.csv,3279,1558,2,0.9749906765122699,0.9462700980958406,49.51
dataset_40979.csv,2000,240,10,0.9684999999999999,0.968434694807982,47.89
dataset_40982.csv,1941,27,7,0.8001348136399683,0.819426839274699,56.25
dataset_40983.csv,4839,5,2,0.9853280119090396,0.9258712658399457,12.55
dataset_40984.csv,2310,16,7,0.9367965367965366,0.9365459348122867,48.8
dataset_40994.csv,540,18,2,0.9555555555555555,0.7865672032748867,9.07
dataset_40996.csv,70000,784,10,0.9136285714285715,0.9132257609382206,968.4
dataset_41027.csv,44819,6,3,0.8671322249995793,0.816728028690941,44.91
